Wall time,Step,Value
1756080995.3281696,17450,0.15423117578029633
1756081021.9713006,17540,0.16578100621700287
1756081084.1059093,17750,0.2118571698665619
1756081090.0189595,17770,0.1877201497554779
1756081125.5245688,17890,0.1919073760509491
1756081134.5131004,17920,0.13663502037525177
1756081158.1688344,18000,0.15840835869312286
1756081214.3793113,18190,0.13568562269210815
1756081359.9526627,18470,0.11977974325418472
1756081371.8873036,18510,0.1279561072587967
1756081398.6036227,18600,0.18180713057518005
1756081413.3953576,18650,0.13593634963035583
1756081419.3577154,18670,0.12389001250267029
1756081481.8821478,18880,0.15129244327545166
1756081514.5218174,18990,0.1464613825082779
1756081523.3357127,19020,0.17890664935112
1756081541.1775398,19080,0.13895076513290405
1756081544.152403,19090,0.1962336003780365
1756081588.4123166,19240,0.22801868617534637
1756081591.3726718,19250,0.14234036207199097
1756081623.9696276,19360,0.11803539097309113
1756081635.8981988,19400,0.22384101152420044
1756081713.2247903,19450,0.1403537392616272
1756081719.0849884,19470,0.21811999380588531
1756081757.6902626,19600,0.14441384375095367
1756081760.615148,19610,0.2002960443496704
1756081766.5314386,19630,0.15974438190460205
1756081769.4775088,19640,0.12642629444599152
1756081775.3630044,19660,0.15179385244846344
1756081807.917294,19770,0.15571098029613495
1756081813.9861717,19790,0.2148151993751526
1756081837.6634517,19870,0.1818743497133255
1756081840.7878299,19880,0.12251779437065125
1756082147.0070782,20700,0.17559859156608582
1756082173.659947,20790,0.12124572694301605
1756082203.3348143,20890,0.19623643159866333
1756082236.178123,21000,0.16535954177379608
1756082244.925854,21030,0.13027864694595337
1756082262.5707452,21090,0.16282914578914642
1756082277.5056272,21140,0.16412557661533356
1756082280.4633918,21150,0.11636556684970856
1756082292.22164,21190,0.16166096925735474
1756082295.3311718,21200,0.19287526607513428
1756082315.8654618,21270,0.1700560450553894
1756082351.3015933,21390,0.15900260210037231
1756082440.6385026,21690,0.20634955167770386
1756082555.465857,21870,0.12272049486637115
1756082576.0693688,21940,0.14864112436771393
1756082620.4545891,22090,0.14741280674934387
1756082638.3968399,22150,0.18448399007320404
1756082668.1468563,22250,0.27326998114585876
1756082700.60527,22360,0.21265444159507751
1756082709.4245074,22390,0.17280426621437073
1756082724.3581884,22440,0.14071255922317505
1756082762.83753,22570,0.16795626282691956
1756082834.0850878,22810,0.2234736829996109
1756082968.3420334,23050,0.18632085621356964
1756083000.9300613,23160,0.1447926163673401
1756083009.8494313,23190,0.15640288591384888
1756083024.8160272,23240,0.22301337122917175
1756083048.4088898,23320,0.26486936211586
1756083078.0774667,23420,0.1602296680212021
1756083108.122171,23520,0.17068879306316376
1756083128.821637,23590,0.12369213998317719
1756083217.9342637,23890,0.23300579190254211
1756083230.077216,23930,0.13869746029376984
1756083232.9686036,23940,0.11762871593236923
1756083244.7791908,23980,0.21239206194877625
1756083419.6300924,24360,0.16816778481006622
1756083434.5786972,24410,0.1925038993358612
1756083473.2326484,24540,0.19163808226585388
1756083496.990571,24620,0.1754278540611267
1756083506.027695,24650,0.14261983335018158
1756083565.4746394,24850,0.12949731945991516
1756083589.1165092,24930,0.1710808128118515
1756083603.9745524,24980,0.2013886719942093
1756083618.6602535,25030,0.18950676918029785
1756083723.094082,25170,0.12433373928070068
1756083729.1406777,25190,0.15167073905467987
1756083756.042512,25280,0.26189231872558594
1756083761.8537812,25300,0.14913134276866913
1756083785.499843,25380,0.1351858228445053
1756083865.2851176,25650,0.15080463886260986
1756083868.2524157,25660,0.11927726864814758
1756083901.3142402,25770,0.15878266096115112
1756083904.2802796,25780,0.19524462521076202
1756083934.0690439,25880,0.13242314755916595
1756083945.8082798,25920,0.16162538528442383
1756083966.7345066,25990,0.1602824330329895
1756083987.6264057,26060,0.20295166969299316
1756084026.293586,26190,0.206633523106575
1756084050.2444572,26270,0.16527442634105682
1756084053.1913385,26280,0.17821457982063293
1756084137.0255117,26350,0.2144024670124054
1756084145.892313,26380,0.19612720608711243
1756084148.7954001,26390,0.16193658113479614
1756084151.7274132,26400,0.20861074328422546
1756084160.6451867,26430,0.19016367197036743
1756084216.3770354,26620,0.10966024547815323
1756084240.0798469,26700,0.2330377995967865
1756084243.0071173,26710,0.16824588179588318
1756084251.9846005,26740,0.11845347285270691
1756084272.6700528,26810,0.12951043248176575
1756084281.7277744,26840,0.16328376531600952
1756084287.5984495,26860,0.12236373126506805
1756084296.3986287,26890,0.1680012345314026
1756084308.2121644,26930,0.16393429040908813
1756084334.764411,27020,0.11731378734111786
1756084352.5683904,27080,0.4226473271846771
1756084367.3552475,27130,0.1669999361038208
1756084379.0190134,27170,0.2117345631122589
1756084414.5163865,27290,0.19403383135795593
1756084417.4695866,27300,0.1676076501607895
1756084429.3929026,27340,0.12513844668865204
1756084444.1445255,27390,0.13439656794071198
1756084447.0476503,27400,0.12773601710796356
1756084449.992552,27410,0.1386111080646515
1756084521.667135,27440,0.12258056551218033
1756084547.9176638,27530,0.12151382863521576
1756084550.8378723,27540,0.19332437217235565
1756084553.912607,27550,0.16735844314098358
1756084568.5904622,27600,0.18464462459087372
1756084583.406684,27650,0.1155768483877182
1756084592.1087577,27680,0.17658846080303192
1756084606.763379,27730,0.22716543078422546
1756084621.7255528,27780,0.14063987135887146
1756084642.6988869,27850,0.24285896122455597
1756084722.2524135,28120,0.22626471519470215
1756084787.8494914,28340,0.16877108812332153
1756084799.6506534,28380,0.17681309580802917
1756084817.5285468,28440,0.15861311554908752
1756084838.1466796,28510,0.22193166613578796
1756084928.9934006,28610,0.1518392711877823
1756084931.9877682,28620,0.20752368867397308
1756084987.9306238,28810,0.15429016947746277
1756085017.6240566,28910,0.14550073444843292
1756085023.5272012,28930,0.18435007333755493
1756085097.5960054,29180,0.1506878286600113
1756085106.4182265,29210,0.1792311817407608
1756085115.2444553,29240,0.12004746496677399
1756085144.9112062,29340,0.12097141891717911
1756085198.527895,29520,0.15734003484249115
1756085207.3227012,29550,0.23637248575687408
1756085228.0850825,29620,0.16076987981796265
1756085236.9124262,29650,0.20489303767681122
1756085243.0549676,29670,0.16819870471954346
1756085323.0390925,29730,0.2104244828224182
1756085361.447867,29860,0.18700243532657623
1756085391.0385025,29960,0.13326367735862732
1756085399.8404424,29990,0.15161514282226562
1756085408.7965994,30020,0.11250469833612442
1756085459.1151083,30190,0.19228628277778625
1756085503.7179108,30340,0.12668964266777039
1756085542.3528423,30470,0.1678612232208252
1756085649.3899448,30830,0.14421802759170532
1756085652.3475013,30840,0.1477288007736206
1756085750.3560646,30960,0.11938652396202087
1756085770.8474512,31030,0.17302680015563965
1756085773.743562,31040,0.1208394393324852
1756085776.82997,31050,0.15913031995296478
1756085794.4566987,31110,0.18815404176712036
1756085806.3472612,31150,0.18355923891067505
1756085818.1844478,31190,0.15214893221855164
1756085821.0588038,31200,0.16915573179721832
1756085824.033002,31210,0.14044421911239624
1756085839.0283048,31260,0.17969520390033722
1756085844.8388152,31280,0.17131656408309937
1756085895.3826077,31450,0.16051149368286133
1756085978.7123663,31730,0.18887275457382202
1756085993.6769218,31780,0.13287830352783203
1756086029.0164495,31900,0.23013317584991455
1756086034.9734857,31920,0.15718525648117065
1756086055.7681353,31990,0.13243763148784637
1756086133.3777895,32040,0.09021401405334473
1756086168.9885154,32160,0.14334459602832794
